Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Strain],Experimental Condition [Media],Experimental Condition [Steps],Experimental Condition [Flow Control],Comment [Preculture],Source Name,Comment [Image File Path],Comment [Image File Type],Channels,Processed Data File
switch_06h,20151204_switch6h_1_MMStack_Pos0.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,6h: A | 4h: B | 6h: A | 4h: B | 6h: A | 4h: B,syringe 5mL,ASC662,20151204,Julou_2020_lacInduction_RawImages/20151204/20151204_switch6h_rawstacks/20151204_switch6h_1_MMStack_Pos0.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
switch_08h,20151218_switch8h_1_MMStack_Pos0.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,6h: A | 4h: B | 8h: A | 4h: B | 8h: A | 4h: B,syringe 5mL,ASC662,20151218,Julou_2020_lacInduction_RawImages/20151218/20151218_switch8h_rawstacks/20151218_switch8h_1_MMStack_Pos0.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
switch_08h,20180206_20180206_gfpFlatfield_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,6h: A | 4h: B | 8h: A | 4h: B,pressure 15mL | pressure:  2460 / 2140 | flow: 2.5/0.5,- ASC662: OD=0.220 (used 15ml out of 20ml),20180206,Julou_2020_lacInduction_RawImages/20180206/20180206_gfpFlatfield/20180206_gfpFlatfield_MMStack.ome.tif,flatfield,"Phase Contrast, GFP [epifluorescence]",
switch_08h,20180206_glu_lac_switch8h__1_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,6h: A | 4h: B | 8h: A | 4h: B,pressure 15mL | pressure:  2460 / 2140 | flow: 2.5/0.5,- ASC662: OD=0.220 (used 15ml out of 20ml),20180206,Julou_2020_lacInduction_RawImages/20180206/20180206_glu_lac_switch8h__1/20180206_glu_lac_switch8h__1_MMStack.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
switch_12h,20180207_20180206_gfpFlatfield_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,6h: A | 4h: B | 12h: A | 4h: B,pressure 15mL | pressure:  2460 / 2140 | flow: 1.85/0.5,- ASC662: OD=0.188 (used 20ml out of 20ml),20180207,Julou_2020_lacInduction_RawImages/20180207/20180206_gfpFlatfield/20180206_gfpFlatfield_MMStack.ome.tif,flatfield,"Phase Contrast, GFP [epifluorescence]",
switch_12h,20180207_glu_lac_12h_1_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,6h: A | 4h: B | 12h: A | 4h: B,pressure 15mL | pressure:  2460 / 2140 | flow: 1.85/0.5,- ASC662: OD=0.188 (used 20ml out of 20ml),20180207,Julou_2020_lacInduction_RawImages/20180207/20180207_glu_lac_12h_1/20180207_glu_lac_12h_1_MMStack.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
switch_12h,20180216_20180214_gfpFlatfield_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,6h: A | 4h: B | 12h: A | 4h: B,pressure 15mL | pressure:  2150 / 1850 | flow: ~ 2.6 / 0.7,- ASC662: OD=0.226 (used 15ml out of 20ml),20180216,Julou_2020_lacInduction_RawImages/20180216/20180214_gfpFlatfield/20180214_gfpFlatfield_MMStack.ome.tif,flatfield,"Phase Contrast, GFP [epifluorescence]",
switch_12h,20180216_glu_lac_switch12h_1_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,6h: A | 4h: B | 12h: A | 4h: B,pressure 15mL | pressure:  2150 / 1850 | flow: ~ 2.6 / 0.7,- ASC662: OD=0.226 (used 15ml out of 20ml),20180216,Julou_2020_lacInduction_RawImages/20180216/20180216_glu_lac_switch12h_1/20180216_glu_lac_switch12h_1_MMStack.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
switch_16h,20160912_glu_lac_16h_1_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,6h: A | 4h: B | 16h: A | 6h: B,syringe 5mL,- ASC662: OD=0.38 (used 12ml out of 15ml),20160912,Julou_2020_lacInduction_RawImages/20160912/20160912_glu_lac_16h_1/20160912_glu_lac_16h_1_MMStack.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
switch_16h,20160914_gfp_flatfield_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,6h: A | 4h: B | 16h: A | 6h: B,syringe 5mL,- ASC662: OD=0.38 (used 12ml out of 15ml),20160912,Julou_2020_lacInduction_RawImages/20160912/20160914_gfp_flatfield/20160914_gfp_flatfield_MMStack.ome.tif,flatfield,"Phase Contrast, GFP [epifluorescence]",
